"RESOLVED_ENTITY_ID","RESOLVED_ENTITY_NAME","RELATED_ENTITY_ID","MATCH_LEVEL","MATCH_KEY","DATA_SOURCE","RECORD_ID","JSON_DATA","LENS_CODE"
"1","BARBARA RIOS","0","0","","TEST","241800854","{""ADDR_CITY"":""TLafayette"",""ADDR_LINE1"":""980 Acalanes RD"",""ADDR_POSTAL_CODE"":""94149"",""ADDR_STATE"":""CA"",""DRIVERS_LICENSE_STATE"":""AK"",""GENDER"":""F"",""NAME_FIRST"":""BARBARA"",""NAME_LAST"":""RIOS"",""PASSPORT_NUMBER"":""CD1RJE4"",""PHONE_NUMBER"":""935-7368"",""SOCIAL_HANDLE"":""cathects4"",""SSN_NUMBER"":""410-91-7487"",""entityid"":""224185651"",""srccode"":""MDMPER"",""DATA_SOURCE"":""TEST"",""ENTITY_TYPE"":""TEST"",""DSRC_ACTION"":""A"",""LENS_CODE"":""DEFAULT"",""RECORD_ID"":""241800854""}","DEFAULT"
"2","LEGG","0","0","","TEST","223952930","{""ADDR_CITY"":""Winchester"",""ADDR_LINE1"":""32248 AnoCrest RD"",""ADDR_POSTAL_CODE"":""92596"",""ADDR_STATE"":""CA"",""CC_ACCOUNT_NUMBER"":""517835415432203655"",""DRIVERS_LICENSE_NUMBER"":""140272095"",""DRIVERS_LICENSE_STATE"":""MO"",""GENDER"":""F"",""NAME_LAST"":""LEGG"",""PHONE_NUMBER"":""818-241-7056"",""SSN_NUMBER"":""861-33-6210"",""entityid"":""215261689"",""srccode"":""MDMPER"",""DATA_SOURCE"":""TEST"",""ENTITY_TYPE"":""TEST"",""DSRC_ACTION"":""A"",""LENS_CODE"":""DEFAULT"",""RECORD_ID"":""223952930""}","DEFAULT"
"3","HATHER SWARTZENDRUBE","0","0","","TEST","525679168","{""ADDR_CITY"":""Spring"",""ADDR_LINE1"":""524920 AbbUy LN"",""ADDR_POSTAL_CODE"":""77379"",""ADDR_STATE"":""TX"",""CC_ACCOUNT_NUMBER"":""5130204467284922715"",""GENDER"":""F"",""NAME_FIRST"":""HATHER"",""NAME_LAST"":""SWARTZENDRUBE"",""PHONE_NUMBER"":""469-536-7083"",""SSN_NUMBER"":""235-54-9507"",""entityid"":""313597448"",""srccode"":""MDMPER"",""DATA_SOURCE"":""TEST"",""ENTITY_TYPE"":""TEST"",""DSRC_ACTION"":""A"",""LENS_CODE"":""DEFAULT"",""RECORD_ID"":""525679168""}","DEFAULT"
"4","JYNE ETSEP","0","0","","TEST","193750133","{""ADDR_CITY"":""Beaver Dams"",""ADDR_LINE1"":""2630 BeaverDamsMoreland RD"",""ADDR_POSTAL_CODE"":""1412"",""ADDR_STATE"":""NY"",""CC_ACCOUNT_NUMBER"":""5038855645116778144"",""DATE_OF_BIRTH"":""24/11/1985"",""DRIVERS_LICENSE_NUMBER"":""238442"",""GENDER"":""F"",""NAME_FIRST"":""JYNE"",""NAME_LAST"":""ETSEP"",""PHONE_NUMBER"":""718-533-2226"",""SSN_NUMBER"":""239-53-4397"",""entityid"":""193750133"",""srccode"":""MDMPER"",""DATA_SOURCE"":""TEST"",""ENTITY_TYPE"":""TEST"",""DSRC_ACTION"":""A"",""LENS_CODE"":""DEFAULT"",""RECORD_ID"":""193750133""}","DEFAULT"
"5","JOHN GONZALEZ","0","0","","TEST","308494603","{""ADDR_CITY"":""LaraEie"",""ADDR_LINE1"":""36158 SanCdreek RD"",""ADDR_POSTAL_CODE"":""82070"",""CC_ACCOUNT_NUMBER"":""5467423073076819"",""DATE_OF_BIRTH"":""20/12/1949"",""DRIVERS_LICENSE_NUMBER"":""806ZT4404"",""DRIVERS_LICENSE_STATE"":""IA"",""GENDER"":""M"",""NAME_FIRST"":""JOHN"",""NAME_LAST"":""GONZALEZ"",""entityid"":""257532525"",""srccode"":""MDMPER"",""DATA_SOURCE"":""TEST"",""ENTITY_TYPE"":""TEST"",""DSRC_ACTION"":""A"",""LENS_CODE"":""DEFAULT"",""RECORD_ID"":""308494603""}","DEFAULT"
"6","NONA STRIEKER","0","0","","TEST","223720495","{""ADDR_CITY"":""Phoenix"",""ADDR_LINE1"":""13460 14th "",""ADDR_POSTAL_CODE"":""85023"",""ADDR_STATE"":""AZ"",""CC_ACCOUNT_NUMBER"":""63044504976637954"",""DRIVERS_LICENSE_NUMBER"":""411467"",""GENDER"":""F"",""NAME_FIRST"":""NONA"",""NAME_LAST"":""STRIEKER"",""PHONE_NUMBER"":""250-324-9894"",""SOCIAL_HANDLE"":""sawbills8"",""SSN_NUMBER"":""213-64-8697"",""entityid"":""215145471"",""srccode"":""MDMPER"",""DATA_SOURCE"":""TEST"",""ENTITY_TYPE"":""TEST"",""DSRC_ACTION"":""A"",""LENS_CODE"":""DEFAULT"",""RECORD_ID"":""223720495""}","DEFAULT"
"7","WENDELL JANISCH","0","0","","TEST","525908174","{""ADDR_CITY"":""ValleOjo"",""ADDR_LINE1"":""216 Alhambra AVE"",""ADDR_STATE"":""CA"",""CC_ACCOUNT_NUMBER"":""6304502191563315567"",""DRIVERS_LICENSE_STATE"":""CT"",""GENDER"":""M"",""NAME_FIRST"":""WENDELL"",""NAME_LAST"":""JANISCH"",""PASSPORT_NUMBER"":""988IVLDM5"",""PHONE_NUMBER"":""408-344-8561"",""SSN_NUMBER"":""472-27-8033"",""entityid"":""313630163"",""srccode"":""MDMPER"",""DATA_SOURCE"":""TEST"",""ENTITY_TYPE"":""TEST"",""DSRC_ACTION"":""A"",""LENS_CODE"":""DEFAULT"",""RECORD_ID"":""525908174""}","DEFAULT"
"8","DENNIS DAVENPORT","0","0","","TEST","54682001","{""ADDR_CITY"":""Latta"",""ADDR_LINE1"":""214 Academy ST"",""ADDR_POSTAL_CODE"":""2965"",""ADDR_STATE"":""SC"",""CC_ACCOUNT_NUMBER"":""5018719621595883"",""DRIVERS_LICENSE_NUMBER"":""9762206"",""GENDER"":""M"",""NAME_FIRST"":""DENNIS"",""NAME_LAST"":""DAVENPORT"",""PHONE_NUMBER"":""483-962-5759"",""SSN_NUMBER"":""599-41-0455"",""entityid"":""54682001"",""srccode"":""MDMPER"",""DATA_SOURCE"":""TEST"",""ENTITY_TYPE"":""TEST"",""DSRC_ACTION"":""A"",""LENS_CODE"":""DEFAULT"",""RECORD_ID"":""54682001""}","DEFAULT"
"9","WILLIAM PEKAR","0","0","","TEST","127268393","{""ADDR_CITY"":""Deltaville"",""ADDR_LINE1"":""10 Persimmo DR"",""ADDR_POSTAL_CODE"":""23043"",""ADDR_STATE"":""VA"",""DATE_OF_BIRTH"":""20/2/1953"",""DRIVERS_LICENSE_NUMBER"":""AH80890"",""DRIVERS_LICENSE_STATE"":""CO"",""GENDER"":""M"",""NAME_FIRST"":""WILLIAM"",""NAME_LAST"":""PEKAR"",""PHONE_NUMBER"":""434-897-6073"",""SSN_NUMBER"":""691-83-7864"",""entityid"":""127268393"",""srccode"":""MDMPER"",""DATA_SOURCE"":""TEST"",""ENTITY_TYPE"":""TEST"",""DSRC_ACTION"":""A"",""LENS_CODE"":""DEFAULT"",""RECORD_ID"":""127268393""}","DEFAULT"
"10","BOWER","0","0","","TEST","205571707","{""ADDR_CITY"":""Memphis"",""ADDR_LINE1"":""4402 BishopHills DR"",""ADDR_POSTAL_CODE"":""38128"",""ADDR_STATE"":""TN"",""CC_ACCOUNT_NUMBER"":""5020335378777917563"",""DATE_OF_BIRTH"":""4/2/1985"",""DRIVERS_LICENSE_NUMBER"":""U580677644332"",""GENDER"":""N/A"",""NAME_LAST"":""BOWER"",""PASSPORT_NUMBER"":""CGOZPITS"",""PHONE_NUMBER"":""615-326-5128"",""entityid"":""205571707"",""srccode"":""MDMPER"",""DATA_SOURCE"":""TEST"",""ENTITY_TYPE"":""TEST"",""DSRC_ACTION"":""A"",""LENS_CODE"":""DEFAULT"",""RECORD_ID"":""205571707""}","DEFAULT"
